0.0268590 0.5112860 -0.6711170 ; 0.0100560 0.4993430 -0.6716990
0.0105240 0.4977430 -0.6711170 ; 0.0100560 0.4993430 -0.6716990
0.0105240 0.4977430 -0.6711170 ; -0.0000100 0.4976260 -0.6714350
-0.0000100 0.4976260 -0.6714350 ; 0.0100560 0.4993430 -0.6716990
-0.0000100 0.5000130 -0.6712900 ; 0.0100560 0.4993430 -0.6716990
0.0095650 0.4947980 -0.0745020 ; -0.0000100 0.4945330 -0.0745540
0.0095990 0.5149680 -0.1187820 ; 0.0095650 0.4947980 -0.0745020
-0.0000100 0.4945330 -0.0745540 ; 0.0095990 0.5149680 -0.1187820
-0.0000100 0.5147270 -0.1188580 ; 0.0095990 0.5149680 -0.1187820
0.0095990 0.5149680 -0.1187820 ; 0.0243470 0.5025930 -0.1184420
0.0243470 0.5025930 -0.1184420 ; 0.0095650 0.4947980 -0.0745020
0.0242630 0.4824740 -0.0739430 ; 0.0095650 0.4947980 -0.0745020
0.0243470 0.5025930 -0.1184420 ; 0.0242630 0.4824740 -0.0739430
0.0243470 0.5025930 -0.1184420 ; 0.0298680 0.4827310 -0.1177940
0.0298680 0.4827310 -0.1177940 ; 0.0242630 0.4824740 -0.0739430
0.0298680 0.4626860 -0.0730180 ; 0.0242630 0.4824740 -0.0739430
0.0298680 0.4827310 -0.1177940 ; 0.0298680 0.4626860 -0.0730180
0.0298680 0.4827310 -0.1177940 ; 0.0242060 0.4630020 -0.1170720
0.0242060 0.4630020 -0.1170720 ; 0.0298680 0.4626860 -0.0730180
0.0243330 0.4428290 -0.0721490 ; 0.0298680 0.4626860 -0.0730180
0.0242060 0.4630020 -0.1170720 ; 0.0243330 0.4428290 -0.0721490
0.0242060 0.4630020 -0.1170720 ; 0.0095270 0.4507940 -0.1166140
0.0095270 0.4507940 -0.1166140 ; 0.0243330 0.4428290 -0.0721490
0.0095990 0.4304310 -0.0716600 ; 0.0243330 0.4428290 -0.0721490
0.0095270 0.4507940 -0.1166140 ; 0.0095990 0.4304310 -0.0716600
-0.0000100 0.5588900 -0.7311030 ; 0.0267730 0.5559160 -0.7324480
0.0105020 0.5688740 -0.7339810 ; -0.0000100 0.5588900 -0.7311030
0.0105020 0.5688740 -0.7339810 ; -0.0000100 0.5689940 -0.7336750
0.0091750 0.4675730 0.0256140 ; -0.0000100 0.4672610 0.0256180
0.0095610 0.4830930 -0.0300650 ; 0.0091750 0.4675730 0.0256140
-0.0000100 0.4672610 0.0256180 ; 0.0095610 0.4830930 -0.0300650
-0.0000100 0.4828340 -0.0301170 ; 0.0095610 0.4830930 -0.0300650
0.0095650 0.4947980 -0.0745020 ; 0.0095610 0.4830930 -0.0300650
-0.0000100 0.4828340 -0.0301170 ; 0.0095650 0.4947980 -0.0745020
0.0234220 0.4555080 0.0257130 ; 0.0216420 0.4727640 0.1674180
0.0091750 0.4675730 0.0256140 ; 0.0234220 0.4555080 0.0257130
0.0216420 0.4727640 0.1674180 ; 0.0091750 0.4675730 0.0256140
0.0084970 0.4848190 0.1676570 ; 0.0091750 0.4675730 0.0256140
0.0216420 0.4727640 0.1674180 ; 0.0084970 0.4848190 0.1676570
0.0242630 0.4824740 -0.0739430 ; 0.0095610 0.4830930 -0.0300650
0.0242790 0.4707990 -0.0296790 ; 0.0095610 0.4830930 -0.0300650
0.0242630 0.4824740 -0.0739430 ; 0.0242790 0.4707990 -0.0296790
0.0258720 0.5542420 -0.6718860 ; 0.0243470 0.5025930 -0.1184420
0.0243470 0.5025930 -0.1184420 ; 0.0101750 0.5673570 -0.6719260
0.0095990 0.5149680 -0.1187820 ; 0.0101750 0.5673570 -0.6719260
0.0242790 0.4707990 -0.0296790 ; 0.0298680 0.4509950 -0.0290030
0.0234220 0.4555080 0.0257130 ; 0.0242790 0.4707990 -0.0296790
0.0298680 0.4509950 -0.0290030 ; 0.0234220 0.4555080 0.0257130
0.0289830 0.4357660 0.0258940 ; 0.0234220 0.4555080 0.0257130
0.0298680 0.4509950 -0.0290030 ; 0.0289830 0.4357660 0.0258940
0.0298680 0.4626860 -0.0730180 ; 0.0242790 0.4707990 -0.0296790
0.0298680 0.4626860 -0.0730180 ; 0.0298680 0.4509950 -0.0290030
0.0317600 0.5331430 -0.6718190 ; 0.0298680 0.4827310 -0.1177940
0.0243470 0.5025930 -0.1184420 ; 0.0317600 0.5331430 -0.6718190
0.0298680 0.4509950 -0.0290030 ; 0.0242690 0.4312070 -0.0283010
0.0242690 0.4312070 -0.0283010 ; 0.0289830 0.4357660 0.0258940
0.0235790 0.4159020 0.0261090 ; 0.0289830 0.4357660 0.0258940
0.0242690 0.4312070 -0.0283010 ; 0.0235790 0.4159020 0.0261090
0.0243330 0.4428290 -0.0721490 ; 0.0298680 0.4509950 -0.0290030
